Muaji,Totali i kredisë   ,Kredia për qeverinë lokale  dhe administratën publike      ,Kredia për korporatat e tjera jofinanciare    ,Kredia për korporatat jofinanciare publike    ,Kredia për sektorë të tjerë rezidentë    ,E U R O,Gjithsej,Ushqime dhe pije joalkoolike,Pije alkoolike dhe duhan,Veshje dhe këpucë,"Qera, ujë, lëndë djegëse dhe energji","Mobilje, pajisje shtëpie dhe mirëmbajtje e shtëpisë",Shëndeti,Transporti,Baza monetare ,Paraja jashtë korporatave depozituese    ,Agregati M1 ,Agregati M2 ,Agregati M3 ,Paraja jashtë korporatave depozituese    
2017.01,545232.82,838.3,340254.26,26880.09,168146.56,137,103.75,108.48,101.42,99.91,101.11,100.28,100.25,99.39,388321.38,246376.53,430698.12,729179.28,1260273.99,246376.53
2017.02,545798.92,834.06,341042.77,26943.45,167920.01,136,104.26,110.06,101.37,97.61,101.31,100.13,100.26,98.89,377934.08,244576.36,424428.9,722303.15,1248315.77,244576.36
2017.03,547806.06,816.54,340846.58,27197.43,169777.31,135,104.67,110.6,101.69,97.72,101.78,99.92,100.23,99.93,392977.2,244558.14,424990.3,719020.2,1243303.47,244558.14
2017.04,545305.98,815.3,338225.38,27542.7,169790.22,135,104.02,109.1,101.85,96.03,101.52,99.91,100.1,100.4,377074.78,246446.22,428229.17,723479.91,1246172.71,246446.22
2017.05,544451.91,812.35,335618.78,27795.39,171582.6,135,102.77,106.21,101.66,96.35,101.41,99.91,100.17,99.74,379625.34,246730.99,430026.24,722886.22,1241670.46,246730.99
2017.06,543614.27,809.54,333122.57,28831.49,172254.8,133,102.41,105.51,101.72,95.83,101.37,99.81,100.05,99.32,388647.44,250553.91,433598.78,724325.52,1239351.91,250553.91
2017.07,545431.69,796.88,333886.85,28904.83,173103.08,133,102.27,105.14,101.64,96.36,101.36,99.44,100.09,99.73,383722.49,253033.28,438377.77,726655.76,1247189.53,253033.28
2017.08,549718.55,794.47,336191.05,29290.67,175050.57,133,102.69,106.18,101.6,96.01,101.38,99.51,100.04,100.21,390563.42,255582.52,438290.79,720558.01,1250306.13,255582.52
2017.09,553592.9,809.62,339280.19,29431.29,175861.15,134,103.06,106.66,101.56,98.29,101.52,99.42,99.98,100.31,391007.26,254572.07,438641.17,721202.62,1251730.7,254572.07
2017.1,552331.46,797.02,337696.42,29485.93,176100.07,134,103.1,106.51,101.52,99.9,101.6,99.48,99.97,100.02,391080.89,254635.02,441268.58,720750.84,1249958.15,254635.02
2017.11,554133.85,795.97,338531.5,29559.98,176961.02,133,102.95,105.68,101.73,100.23,102.02,99.7,100.39,101.3,394738.41,255068.41,444572.89,723022.72,1253031.81,255068.41
2017.12,550280.45,787.68,329376.96,34901.31,177269.84,133,104.01,107.53,101.83,101.51,103.07,100.2,100.28,101.23,425243.1,265264.05,461577.93,738927.85,1266934.7,265264.05
2018.01,550796.83,776.06,328944.7,34914.76,178133.01,134,105.55,110.83,102.9,100.98,104.42,100.07,100.33,101.2,402929.6,257398.89,451804.21,725453.02,1259090.42,257398.89
2018.02,549941.11,771.5,328780.65,34241.92,178280.18,133,106.4,113.07,102.97,100.42,104.4,100.29,100.31,101.15,399233.04,257631.93,453728.65,725355.88,1252787.87,257631.93
2018.03,548446.54,760.61,326348.14,34601.51,178795.6,131,106.71,114.06,103.63,99.49,104.03,100.16,100.27,101.23,392310.13,254438.5,443565.4,715415.13,1238580.37,254438.5
2018.04,546089.76,751.06,324643.48,33681.13,178964.54,129,106.19,112.52,103.63,99.32,104.09,99.93,100.27,101.39,389059.34,252651.42,444907.75,714721.17,1230947.93,252651.42
2018.05,539542.53,746.63,319522.66,31989.64,179198.63,127,104.93,109.19,103.29,98.52,104.12,99.86,100.39,101.79,377273.78,254706.44,447288.75,713508.28,1223010,254706.44
2018.06,530458.46,737.41,320863.26,19583.89,180721.53,126,104.87,108.84,103.37,99.01,104.27,99.74,99.89,102.43,387564.91,256783.04,452343.04,716557.94,1230201.01,256783.04
2018.07,532975.34,726.21,321618.4,19801.75,181755.9,126,104.59,108.25,103.4,98.53,104.22,99.18,99.6,102.96,391056.23,263478.86,464022.98,725399.73,1239677.96,263478.86
2018.08,533174.63,721.75,321167.46,19742.71,182816.36,126,104.97,109.15,103.39,98.35,104.27,99.34,99.61,103.26,400399.92,269884.24,468761.64,724350.17,1251428.41,269884.24
2018.09,535254.16,716.22,322399.34,19615.65,183353.84,126,105.21,109.48,103.33,98.9,104.37,99.46,99.61,103.52,413029.76,268785.43,469044.87,723199.51,1254663.83,268785.43
2018.1,532522.43,646.3,319514.37,19291.78,183452.74,125,105.03,108.4,103.37,99.58,105.04,99.62,99.62,104.31,403697.08,265433.25,464643.04,717486.7,1248688.82,265433.25
2018.11,534797.6,691.41,320317.39,20121.84,183745.04,125,104.77,107.79,103.71,99.81,105.15,99.66,99.4,103.8,404066.51,267497.24,466635.8,719996.58,1246779.82,267497.24
2018.12,532818.58,682.6,317578.36,20270.04,184123.58,123,105.89,110.59,104.42,99.92,105.29,100.19,99.75,102.6,423427.87,275285.25,478721.48,731502.09,1264127.37,275285.25
2019.01,536693.08,677.14,320223.31,20810.72,184747.65,124,107.58,115.65,104.7,100.15,105.26,100.14,99.75,101.19,413895.12,271543.45,481255.3,732056.93,1274907.67,271543.45
2019.02,540807.32,662.63,323810.06,19834.9,186071.53,125,108.22,117.31,104.6,100.08,105.3,100.49,99.78,101.24,412381.9,272762.88,483695.76,733275.39,1278601.56,272762.88
2019.03,547343.17,656.72,326947.89,21416.76,187219.61,125,107.88,116.4,104.65,99.53,105.09,100.66,99.9,101.75,423488.73,274731.9,487483.08,735846.27,1277962.36,274731.9
2019.04,545774.87,638.25,326014.42,20992.98,187090.74,124,107.63,115.53,104.64,99.57,105.34,100.67,100,101.77,411205.92,273146.21,485576.61,732065.99,1271731.59,273146.21
2019.05,548922.2,632.89,327208.22,21207.79,188255.81,123,106.53,112.57,104.76,98.99,105.29,100.53,99.9,101.65,414282.35,274191,487749.57,733497.35,1268167.32,274191
2019.06,553025.58,620.96,327896.05,21545.83,190575.75,122,106.24,111.75,104.79,99.16,105.08,100.41,99.84,101.85,423556.33,278145.31,494267.66,737761.04,1272757.23,278145.31
2019.07,557408.39,609.57,329999.38,22778.83,191572.57,122,106.12,111.29,104.72,98.77,105.02,100.43,99.49,102.86,421388.45,283595.56,504385.74,745775.28,1283841.63,283595.56
2019.08,560764.77,604.07,331612.16,22223.76,193270.18,121,106.49,111.77,104.93,98.53,105.08,100.8,99.49,104.52,427319.82,288378.41,507039.25,744567.79,1298675.51,288378.41
2019.09,565777.1,590.71,335067.51,22298.75,194597.48,122,106.59,112.19,104.9,99.07,105.13,100.94,99.63,102.93,438273.44,284245.66,504743.33,740792.81,1296623.98,284245.66
2019.1,568354.63,579.5,335817.9,22832.07,196114.33,123,106.37,111.65,104.84,99.43,105.19,100.97,99.5,102.21,424750.95,283482.13,507369.49,741191.09,1300453.82,283482.13
2019.11,568025.58,573.9,334448.56,23073.52,196811.65,123,106.21,111.23,104.86,99.56,105.23,101.17,99.41,102.11,420167.44,286585.02,513765.36,746624.74,1302981.73,286585.02
2019.12,570792.17,560.62,335884.54,24182.39,196609.5,122,107.1,113.44,104.64,99.7,105.42,101.42,99.36,102.76,433951.17,291409.03,523968.31,758021.67,1318661.97,291409.03
